Gene_ID,Sample_1_Reads,Sample_2_Reads
ADAM6,0,0
ADAM7,0,0
ADAM8,172,0
ADAM9,6950,2
ADAMDEC1,0,0
ADAMTS1,404,0
ADAMTS10,89,38
ADAMTS12,1114,0
ADAMTS13,138,0
ADAMTS14,121,0
ADAMTS15,25,0
ADAMTS16,6,0
ADAMTS17,68,0
ADAMTS18,15,0
ADAMTS19,2,0
ADAMTS2,50,22
ADAMTS20,1,0
ADAMTS3,4,0
ADAMTS4,18,2
ADAMTS5,9,12
ADAMTS6,4,257
ADAMTS7,137,0
ADAMTS7P1,1,0
ADAMTS8,2,0
ADAMTS9,334,6
ADAMTS9-AS2,0,0
ADAMTSL1,4,12
ADAMTSL2,0,0
ADAMTSL3,27,2
ADAMTSL4,1760,2
ADAMTSL5,494,0
ADAP1,4654,0
ADAP2,48,0
ADAR,9941,10
ADARB1,331,8
ADARB2,2,0
ADARB2-AS1,0,0
ADAT1,1274,0
ADAT2,303,0
ADAT3,105,0
ADCK1,178,0
ADCK2,938,2
ADCK5,1231,0
ADCY1,398,0
ADCY10,6,0
ADCY10P1,29,0
ADCY2,0,30
ADCY3,2613,54
ADCY4,0,28
ADCY5,14,46
ADCY6,3460,100
ADCY7,2984,0
ADCY8,0,0
ADCY9,1212,0
ADCYAP1,298,0
ADCYAP1R1,3,0
ADD1,1863,785
ADD2,1720,0
ADD3,1315,0
ADD3-AS1,2,0
ADGB,0,0
ADGRA1,0,0
ADGRA2,368,2
ADGRA3,452,8
ADGRB1,101,2
ADGRB2,705,5
ADGRB3,0,2
ADGRD1,4,0
ADGRD2,8,0
ADGRE1,0,0
ADGRE2,123,0
ADGRE3,0,0
ADGRE4P,2,0
ADGRE5,5552,4
ADGRF1,1198,0
ADGRF2,2,0
ADGRF3,29,2
ADGRF4,84,0
ADGRF5,6,2
ADGRG1,10507,2
ADGRG2,6,36
ADGRG3,13,0
ADGRG4,0,0
ADGRG5,10,2
ADGRG6,1144,14
ADGRG7,0,0
ADGRL1,15819,366
ADGRL2,78,50
ADGRL3,6,18
ADGRL4,0,0
ADGRV1,28,0
ADH1A,0,0
ADH1B,0,0
ADH1C,0,0
ADH4,2,0
ADH5,4391,2
ADH6,2,0
ADH7,1,0
ADHFE1,18,0
ADI1,4185,2
ADIG,0,0
ADIPOQ,0,0
ADIPOR1,11314,911
ADIPOR2,6983,88
ADIRF,0,0
ADIRF-AS1,2,1
ADK,3014,398
ADM,3046,4
ADM2,547,0
ADM5,106,0
ADNP,1964,361
ADNP2,623,2
ADO,881,22
ADORA1,107,2
ADORA2A,291,0
ADORA2A-AS1,12,0
ADORA2B,726,58
ADORA3,7,2
ADPGK,1078,369
ADPGK-AS1,1,0
ADPRH,431,0
ADPRHL1,187,0
ADPRHL2,1321,0
ADPRM,277,0
ADRA1A,0,0
ADRA1B,2,38
ADRA1D,144,0
ADRA2A,0,18
ADRA2B,31,0
ADRA2C,346,0
ADRB1,66,2
ADRB2,8,0
ADRB3,0,0
ADRM1,13482,12
ADSL,1505,10
ADSS,1243,292
ADSSL1,536,46
ADTRP,151,0
AEBP1,12,446
AEBP2,2459,520
AEN,502,0
AES,20891,8
AFAP1,6350,0
AFAP1-AS1,1343,0
AFAP1L1,4605,2
AFAP1L2,319,0
AFDN,2048,158
AFDN-DT,36,0
AFF1,2858,4
AFF1-AS1,261,0
AFF2,10,4
AFF3,3,0
AFF4,8111,701
AFG1L,138,14
AFG3L1P,288,0
AFG3L2,4152,44
AFM,0,0
AFMID,1552,4
AFP,0,34
AFTPH,2069,27
AGA,854,0
AGAP1,33,82
AGAP11,0,0
AGAP1-IT1,0,0
AGAP2,45,0
AGAP2-AS1,7,0
AGAP3,2143,82
AGAP4,85,0
AGAP5,45,0
AGAP6,172,6
AGAP7P,48,0
AGAP9,3,0
AGBL1,0,0
AGBL2,45,0
AGBL3,61,2
AGBL4,0,0
AGBL5,3449,20
AGER,5,0
AGFG1,2010,508
AGFG2,3228,22
AGGF1,644,4
AGK,716,6
AGL,1308,0
AGMAT,201,2
AGMO,7,0
AGO1,1611,425
AGO2,4914,150
AGO3,750,77
AGO4,307,30
AGPAT1,314,0
AGPAT2,6489,2
AGPAT3,2693,2
AGPAT4,107,0
AGPAT4-IT1,0,0
AGPAT5,1315,14
AGPS,3290,70
AGR2,164,0
AGR3,0,0
AGRN,42703,17
AGRP,0,0
AGT,4,12
AGTPBP1,487,4
AGTR1,2,0
AGTR2,0,16
AGTRAP,2668,4
AGXT,2,0
AGXT2,0,0
AHCTF1,2074,0
AHCY,16092,206
AHCYL1,14550,1840
AHCYL2,1061,26
AHDC1,1359,218
AHI1,277,4
AHNAK,21333,1351
AHNAK2,659,2
AHR,1858,2
AHRR,182,0
AHSA1,6678,466
AHSA2,459,4
AHSG,23,31
AHSP,0,0
AICDA,0,0
AIDA,1940,86
AIF1,0,0
AIF1L,2326,28
AIFM1,3834,280
AIFM2,1299,0
AIFM3,157,0
AIG1,1211,2
AIM2,0,0
AIMP1,4047,0
AIMP2,1051,0
AIP,6492,28
AIPL1,0,0
AIRE,0,0
AJAP1,0,0
AJM1,209,0
AJUBA,6414,28
AK1,5550,2
AK2,7841,2
AK3,3024,2
AK4,2360,2
AK5,18,0
AK7,28,0
AK8,52,0
AK9,117,2
AKAIN1,0,0
AKAP1,3039,22
AKAP10,1561,90
AKAP11,2130,4
AKAP12,1221,0
AKAP13,708,8
AKAP14,8,0
AKAP17A,0,0
AKAP2,6,0
AKAP3,7,0
AKAP4,0,0
AKAP5,40,0
AKAP6,54,6
AKAP7,8,2
AKAP8,3353,1
AKAP8L,6386,97
AKAP9,817,2
AKIP1,1179,0
AKIRIN1,3871,566
AKIRIN2,3625,378
AKNA,899,0
AKNAD1,20,0
AKR1A1,4726,2
AKR1B1,64325,2
AKR1B10,259,0
AKR1B15,261,0
AKR1C1,2152,0
AKR1C2,2578,0
AKR1C3,3054,4
AKR1C4,4,0
AKR1C6P,2,0
AKR1C8P,0,0
AKR1D1,0,0
AKR1E2,362,0
AKR7A2,2412,2
AKR7A2P1,25,0
AKR7A3,13,0
AKR7L,8,0
AKT1,11703,2363
AKT1S1,2128,4
AKT2,10037,58
AKT3,1096,202
AKTIP,1872,30
ALAD,1549,2
ALAS1,6201,12
ALAS2,3,0
ALB,0,58
ALCAM,1720,287
ALDH16A1,1549,0
ALDH18A1,3846,6
ALDH1A1,12,6
ALDH1A2,36,2
ALDH1A3,17186,0
ALDH1B1,1405,0
ALDH1L1,63,2
ALDH1L2,689,0
ALDH2,53,6
ALDH3A1,4150,0
ALDH3A2,6206,2
ALDH3B1,3357,0
ALDH3B2,65,0
ALDH4A1,1272,14
ALDH5A1,1174,6
ALDH6A1,809,12
ALDH7A1,5841,2
ALDH8A1,6,0
ALDH9A1,5390,0
ALDOA,273213,2376
ALDOB,0,0
ALDOC,1750,0
ALG1,340,0
ALG10,69,0
ALG10B,160,0
ALG11,64,0
ALG12,745,0
ALG13,604,8
ALG14,160,2
ALG1L,212,0
ALG1L2,2,0
ALG2,3073,2
ALG3,5009,2
ALG5,1093,0
ALG6,284,2
ALG8,719,2
ALG9,734,34
ALK,4,0
ALKAL1,2,0
ALKAL2,31,0
ALKBH1,562,12
ALKBH2,624,0
ALKBH3,664,0
ALKBH3-AS1,14,0
ALKBH4,317,0
ALKBH5,8570,298
ALKBH6,828,0
ALKBH7,4180,2
ALKBH8,210,0
ALLC,4,0
ALMS1,834,0
ALMS1P1,0,0
ALOX12,125,2
ALOX12-AS1,86,0
ALOX12B,30,0
ALOX12P2,182,0
ALOX15,16,0
ALOX15B,64,0
ALOX5,699,4
ALOX5AP,64,2
ALOXE3,120,0
ALPI,0,0
ALPK1,635,4
ALPK2,72,2
ALPK3,265,0
ALPL,103,2
ALPP,2104,0
ALPPL2,229,0
ALS2,1006,6
ALS2CL,1886,0
ALS2CR12,6,0
ALX1,8,0
ALX3,167,0
ALX4,54,0
ALYREF,5131,0
AMACR,579,0
AMBN,2,0
AMBP,1,26
AMBRA1,1291,303
AMD1,2976,1344
AMDHD1,52,0
AMDHD2,641,0
AMELX,0,0
AMELY,0,0
AMER1,321,2
AMER2,0,2
AMER3,0,0
AMFR,11340,92
AMH,274,0
AMHR2,10,0
AMIGO1,114,0
AMIGO2,794,0
AMIGO3,82,2
AMMECR1,1191,296
AMMECR1L,1702,374
AMN,821,3
AMN1,659,0
AMOT,285,17
AMOTL1,7112,6
AMOTL2,7492,114
AMPD1,0,0
AMPD2,3294,192
AMPD3,341,2
AMPH,14,0
AMT,38,0
AMTN,0,0
AMY1A,0,0
AMY1B,0,0
AMY1C,0,0
AMY2A,0,0
AMY2B,17,0
AMZ1,382,0
AMZ2,6132,4
AMZ2P1,257,0
ANAPC1,1792,40
ANAPC10,1495,96
ANAPC11,10017,0
ANAPC13,2158,0
ANAPC15,272,23
ANAPC16,3157,0
ANAPC1P1,31,14
ANAPC2,1828,0
ANAPC4,884,76
ANAPC5,3044,1492
ANAPC7,1240,20
ANG,204,1
ANGEL1,1542,10
ANGEL2,392,6
ANGPT1,0,22
ANGPT2,0,0
ANGPT4,18,0
ANGPTL1,0,0
ANGPTL2,1,158
ANGPTL3,1,0
ANGPTL4,10402,13
ANGPTL5,0,0
ANGPTL6,18,0
ANGPTL7,3,0
ANGPTL8,2,2
ANHX,0,0
ANK1,66,0
ANK2,20,26
ANK3,241,32
ANKAR,62,0
ANKDD1A,83,0
ANKDD1B,4,0
ANKEF1,339,0
ANKFN1,89,0
ANKFY1,2125,12
ANKH,610,154
ANKHD1,369,7
ANKHD1-EIF4EBP3,1,0
ANKIB1,1562,152
ANKK1,25,0
ANKLE1,39,2
ANKLE2,2661,0
ANKMY1,46,0
ANKMY2,535,2
ANKRA2,700,30
ANKRD1,66,18
ANKRD10,1256,4
ANKRD10-IT1,94,22
ANKRD11,7630,18
ANKRD12,596,14
ANKRD13A,3887,4
ANKRD13B,489,68
ANKRD13C,1062,140
ANKRD13D,2471,4
ANKRD16,184,0
ANKRD17,2254,2515
ANKRD18A,170,0
ANKRD18B,45,0
ANKRD18DP,0,0
ANKRD19P,50,0
ANKRD2,366,0
ANKRD20A1,0,0
ANKRD20A11P,3,0
ANKRD20A13P,0,0
