Gene_ID,Sample_1_Reads,Sample_2_Reads
CFTR,2,0
CGA,10,0
CGAS,1548,0
CGB1,2,0
CGB2,0,0
CGB3,0,0
CGB5,10,0
CGB7,41,0
CGB8,16,0
CGGBP1,1693,140
CGN,482,0
CGNL1,116,2
CGREF1,396,0
CGRRF1,530,6
CH25H,4,0
CHAC1,707,0
CHAC2,174,4
CHAD,51,0
CHADL,6,0
CHAF1A,3490,2
CHAF1B,1246,0
CHAMP1,1049,0
CHAT,0,0
CHCHD1,1385,2
CHCHD10,3794,0
CHCHD2,15157,2
CHCHD2P6,398,0
CHCHD3,2579,0
CHCHD4,1246,0
CHCHD5,1710,0
CHCHD6,2644,0
CHCHD7,1790,0
CHD1,1280,162
CHD1L,458,4
CHD2,6255,201
CHD3,10471,2530
CHD4,6954,1334
CHD5,89,2
CHD6,1481,78
CHD7,963,42
CHD8,4040,610
CHD9,2118,109
CHDH,149,4
CHEK1,3087,0
CHEK2,1315,0
CHERP,4960,6
CHFR,1198,0
CHGA,7,0
CHGB,0,0
CHI3L1,62,6
CHI3L2,837,0
CHIA,2,0
CHIAP2,2,0
CHIC1,114,0
CHIC2,701,420
CHID1,2553,0
CHIT1,4,0
CHKA,3406,21
CHKB,0,0
CHKB-AS1,50,0
CHKB-CPT1B,23,0
CHL1,0,0
CHM,836,38
CHML,2722,0
CHMP1A,9556,10
CHMP1B,4278,170
CHMP2A,8636,0
CHMP2B,2554,6
CHMP3,5361,0
CHMP4A,2147,0
CHMP4B,12162,2004
CHMP4C,1743,2
CHMP5,6189,0
CHMP6,518,0
CHMP7,997,256
CHN1,38,36
CHN2,44,0
CHODL,10,0
CHODL-AS1,0,0
CHORDC1,2193,136
CHP1,5189,250
CHP2,20,0
CHPF,5391,555
CHPF2,772,160
CHPT1,606,10
CHRAC1,3441,0
CHRD,16,8
CHRDL1,629,0
CHRDL2,0,0
CHRFAM7A,4,1
CHRM1,2,0
CHRM2,0,0
CHRM3,0,0
CHRM3-AS2,0,0
CHRM4,27,0
CHRM5,0,0
CHRNA1,0,8
CHRNA10,9,0
CHRNA2,0,0
CHRNA3,26,0
CHRNA4,10,0
CHRNA5,393,0
CHRNA6,0,0
CHRNA7,88,0
CHRNA9,0,0
CHRNB1,586,2
CHRNB2,4,2
CHRNB3,0,0
CHRNB4,32,0
CHRND,0,0
CHRNE,5,0
CHRNG,0,0
CHST1,12,0
CHST10,44,0
CHST11,2331,38
CHST12,891,108
CHST13,6,2
CHST14,344,100
CHST15,1848,6
CHST2,16,138
CHST3,676,0
CHST4,14,0
CHST5,14,0
CHST6,71,0
CHST7,328,8
CHST8,48,0
CHST9,0,0
CHSY1,507,96
CHSY3,22,20
CHTF18,1450,0
CHTF8,2233,681
CHTOP,2527,898
CHUK,1215,380
CHURC1,1557,0
CIAO1,3897,36
CIAPIN1,4186,2
CIART,307,0
CIB1,5071,0
CIB2,838,0
CIB3,12,0
CIB4,4,0
CIC,4519,500
CICP23,0,0
CICP25,2,0
CIDEA,0,0
CIDEB,950,4
CIDEC,2,0
CIDECP,813,0
CIITA,14,0
CILP,2,0
CILP2,256,0
CINP,1245,0
CIP2A,1552,4
CIPC,834,0
CIR1,1633,10
CIRBP,3688,6
CIRBP-AS1,6,0
CISD1,779,2
CISD2,2612,2
CISD3,2774,0
CISH,66,0
CIT,3329,32
CITED1,15,0
CITED2,1772,6959
CITED4,412,0
CIZ1,19050,2
CKAP2,2651,0
CKAP2L,2641,0
CKAP4,860,572
CKAP5,13806,304
CKB,3659,190
CKLF,2675,0
CKM,6,0
CKMT1A,96,0
CKMT1B,58,0
CKMT2,14,2
CKMT2-AS1,444,0
CKS1B,4480,90
CKS2,15693,654
CLASP1,1128,182
CLASP2,765,30
CLASRP,3831,79
CLBA1,367,0
CLC,0,0
CLCA1,0,0
CLCA2,174,0
CLCA3P,0,0
CLCA4,0,0
CLCC1,2562,0
CLCF1,1199,120
CLCN1,22,0
CLCN2,754,14
CLCN3,2318,90
CLCN4,110,4
CLCN5,192,298
CLCN6,529,52
CLCN7,2785,4
CLCNKA,5,0
CLCNKB,103,0
CLDN1,6679,0
CLDN10,3,0
CLDN11,368,0
CLDN12,2092,0
CLDN14,2,0
CLDN15,231,0
CLDN16,72,0
CLDN17,0,0
CLDN18,0,0
CLDN19,2,0
CLDN2,8,12
CLDN20,1,0
CLDN22,0,0
CLDN23,249,0
CLDN24,0,0
CLDN25,0,0
CLDN3,2014,0
CLDN34,0,0
CLDN4,2710,1
CLDN5,4,0
CLDN6,4,0
CLDN7,9974,0
CLDN8,0,0
CLDN9,234,0
CLDND1,3468,14
CLDND2,109,0
CLEC10A,0,0
CLEC11A,8,0
CLEC12A,0,4
CLEC12B,0,0
CLEC14A,0,2
CLEC16A,834,6
CLEC17A,2,0
CLEC18A,6,0
CLEC18B,6,0
CLEC18C,3,0
CLEC19A,0,0
CLEC1A,2,0
CLEC1B,1,0
CLEC20A,0,0
CLEC2A,0,0
CLEC2B,10,0
CLEC2D,1504,2
CLEC2L,0,0
CLEC3A,0,0
CLEC3B,0,0
CLEC4A,21,0
CLEC4C,0,0
CLEC4D,0,0
CLEC4E,0,0
CLEC4F,0,0
CLEC4G,0,0
CLEC4GP1,0,0
CLEC4M,0,0
CLEC5A,0,0
CLEC6A,2,0
CLEC7A,154,0
CLEC9A,0,0
CLECL1,0,0
CLGN,52,4
CLHC1,127,0
CLIC1,0,0
CLIC2,0,0
CLIC3,1189,2
CLIC4,19490,34
CLIC5,34,0
CLIC6,0,0
CLINT1,6054,324
CLIP1,3247,6
CLIP1-AS1,17,0
CLIP2,2616,0
CLIP3,133,0
CLIP4,1591,0
CLK1,2213,150
CLK2,622,404
CLK2P1,12,8
CLK3,2157,497
CLK4,840,81
CLLU1,3,0
CLLU1OS,7,0
CLMN,922,0
CLMP,1246,0
CLN3,1054,4
CLN5,1192,0
CLN6,1220,4
CLN8,683,0
CLNK,0,0
CLNS1A,5575,4
CLOCK,496,98
CLP1,683,10
CLPB,956,0
CLPP,4265,2
CLPS,0,0
CLPSL1,2,0
CLPSL2,48,0
CLPTM1,7507,200
CLPTM1L,10090,2
CLPX,1938,120
CLRN1,4,0
CLRN1-AS1,2,0
CLRN2,0,0
CLRN3,0,0
CLSPN,1621,4
CLSTN1,13201,14
CLSTN2,2,2
CLSTN3,2043,30
CLTA,10366,2277
CLTB,12419,68
CLTC,16933,4016
CLTCL1,164,0
CLU,1490,24
CLUAP1,298,0
CLUH,7217,72
CLUHP3,323,0
CLUL1,2,0
CLVS1,0,0
CLVS2,0,0
CLYBL,55,2
CMA1,0,0
CMAHP,63,0
CMAS,4679,78
CMBL,149,2
CMC1,954,2
CMC2,4179,0
CMC4,449,0
CMIP,8959,186
CMKLR1,0,0
CMPK1,8634,174
CMPK2,179,0
CMSS1,2144,2
CMTM1,97,0
CMTM2,5,0
CMTM3,466,2
CMTM4,7225,466
CMTM5,0,0
CMTM6,3782,0
CMTM7,2505,0
CMTM8,214,0
CMTR1,2255,0
CMTR2,1371,0
CMYA5,233,0
CNBD1,0,0
CNBD2,6,0
CNBP,24714,4541
CNDP1,0,0
CNDP2,685,12
CNEP1R1,884,62
CNFN,449,0
CNGA1,25,0
CNGA2,0,0
CNGA3,2,0
CNGA4,0,0
CNGB1,98,0
CNGB3,0,0
CNIH1,3660,206
CNIH2,66,69
CNIH3,5,0
CNIH4,6159,78
CNKSR1,1193,0
CNKSR2,13,0
CNKSR3,110,6
CNMD,0,0
CNN1,8,0
CNN2,9288,94
CNN3,12332,222
CNNM1,208,0
CNNM2,375,144
CNNM3,1100,16
CNNM3-DT,4,0
CNNM4,3230,0
CNOT1,18458,1946
CNOT10,863,16
CNOT11,2614,766
CNOT2,1502,1213
CNOT3,6217,295
CNOT4,597,311
CNOT6,2897,252
CNOT6L,750,246
CNOT7,2103,238
CNOT8,4436,0
CNOT9,944,74
CNP,4697,14
CNPPD1,1026,6
CNPY1,8,0
CNPY2,3653,18
CNPY3,4303,58
CNPY4,55,0
CNR1,2,0
CNR2,0,0
CNRIP1,16,0
CNST,607,2
CNTD1,10,0
CNTD2,401,2
CNTF,0,0
CNTFR,44,42
CNTFR-AS1,0,0
CNTLN,699,0
CNTN1,168,0
CNTN2,4,0
CNTN3,0,0
CNTN4,0,0
CNTN5,0,0
CNTN6,0,0
CNTNAP1,182,6
CNTNAP2,18,0
CNTNAP3,523,0
CNTNAP3B,288,0
CNTNAP4,0,0
CNTNAP5,0,0
CNTRL,1729,0
CNTROB,3229,0
COA1,2081,0
COA3,1588,0
COA4,1691,0
COA5,1359,2
COA6,1160,0
COA7,653,0
COASY,6061,2
COBL,609,0
COBLL1,719,2
COCH,592,0
COG1,1369,46
COG2,928,2
COG3,2065,93
COG4,4196,114
COG5,1068,22
COG6,1543,0
COG7,905,24
COG8,957,0
COIL,688,0
COL10A1,0,0
COL11A1,14,56
COL11A2,0,0
COL12A1,1289,732
COL13A1,292,0
COL14A1,6,0
COL15A1,24,2
COL16A1,323,4
COL17A1,1320,0
COL18A1,4157,27
COL18A1-AS1,0,0
COL19A1,2,0
COL1A1,318,22343
COL1A2,7,2996
COL20A1,19,0
COL21A1,0,0
COL22A1,8,0
COL23A1,216,4
COL24A1,0,0
COL25A1,14,2
COL26A1,10,0
COL27A1,68,24
COL28A1,6,0
COL2A1,46,38
COL3A1,4,264
COL4A1,1302,158
COL4A2,3081,16
COL4A3,92,0
COL4A3BP,1478,60
COL4A4,156,0
COL4A5,976,159
COL4A6,427,0
COL5A1,2016,49
COL5A2,52,1262
COL5A3,16,2
COL6A1,10667,8
COL6A2,8724,6
COL6A3,4,68
COL6A4P1,23,0
COL6A4P2,0,0
COL6A5,0,0
COL6A6,1,0
COL7A1,213,14
COL8A1,15,0
COL8A2,24,0
COL9A1,7,0
COL9A2,379,2
COL9A3,70,0
COLCA1,37,2
COLCA2,97,0
COLEC10,8,0
COLEC11,2,0
COLEC12,16,0
COLGALT1,16700,140
COLGALT2,38,0
COLQ,4,0
COMMD1,643,0
COMMD10,560,2
COMMD2,3792,24
COMMD3,849,0
COMMD4,2155,0
COMMD5,3246,0
COMMD6,2985,2
COMMD7,2816,0
COMMD8,867,0
COMMD9,762,0
COMP,10,2
COMT,4529,6
COMTD1,486,0
COPA,25476,1094
COPB1,8176,906
COPB2,12325,1736
COPE,10639,8
COPG1,12175,3
COPG2,555,0
COPRS,1980,2
COPS2,3835,1384
COPS3,4513,228
COPS4,3681,4
COPS5,3808,80
COPS6,5018,2476
COPS7A,5062,40
COPS7B,1191,130
COPS8,957,2
COPS9,928,0
COPZ1,8021,360
COPZ2,415,0
COQ10A,592,14
COQ10B,4879,0
COQ2,699,0
COQ3,540,0
COQ4,2425,0
COQ5,961,0
COQ6,746,0
COQ7,388,0
COQ8A,2106,4
COQ8B,623,18
COQ9,3515,112
CORIN,2,0
CORO1A,360,4
CORO1B,7520,6
CORO1C,5852,18
CORO2A,1796,0
CORO2B,44,4
CORO6,186,3
CORO7,989,6
CORT,1,0
COTL1,66296,4
COX1,132460,544
COX10,886,0
COX11,1703,24
COX14,2545,0
COX15,789,2
COX16,2494,0
COX17,5946,0
COX18,545,0
COX19,1378,0
COX2,48776,111
COX20,128,0
COX20P1,340,0
COX3,27700,126
COX4I1,28348,12
COX4I2,0,0
COX5A,5228,132
COX5B,11101,0
COX6A1,6969,0
COX6A2,2,0
COX6B1,10657,2
COX6B2,165,0
COX6C,21399,4
COX7A1,0,0
COX7A2,9193,0
COX7A2L,5971,2
COX7B,8084,4
COX7B2,0,0
COX7C,19648,10
COX8A,22182,0
COX8C,0,0
CP,515,30
CPA1,0,0
CPA2,22,0
CPA3,0,0
CPA4,241,0
CPA5,6,0
CPA6,0,0
CPAMD8,905,0
CPB1,0,0
CPB2,0,2
CPD,11337,44
CPE,212,362
CPEB1,211,118
CPEB2,212,734
CPEB2-AS1,0,0
CPEB3,144,26
CPEB4,2290,552
CPED1,7,2
CPLX1,782,0
CPLX2,4,10
CPLX3,0,0
CPLX4,0,0
CPM,267,0
CPN1,0,0
CPN2,4,0
CPNE1,10878,4
CPNE2,2007,28
CPNE3,3992,34
CPNE4,0,2
CPNE5,8,0
CPNE6,1,0
CPNE7,434,2
CPNE8,10,6
CPNE9,1,0
CPO,0,0
CPOX,1439,2
CPPED1,856,0
CPQ,10,32
CPS1,36,0
CPS1-IT1,0,0
CPSF1,14507,0
CPSF2,2676,6
CPSF3,908,20
CPSF4,1195,57
CPSF4L,5,0
CPSF6,2613,987
CPSF7,5270,307
CPT1A,4065,4
CPT1B,2,0
CPT1C,105,2
CPT2,487,1
CPTP,1315,0
CPVL,1624,0
CPXCR1,0,0
CPXM1,2,0
CPXM2,10,0
CPZ,174,0
CR1,0,0
CR1L,6,0
CR2,6,0
CRABP1,998,442
CRABP2,37426,0
CRACR2A,121,0
CRACR2B,558,0
CRADD,174,0
CRAMP1,1450,0
CRAT,496,0
CRB1,10,0
CRB2,26,0
CRB3,2876,0
CRBN,1164,32
CRCP,2464,2
CRCT1,2,0
CREB1,2081,494
CREB3,2059,0
CREB3L1,76,66
CREB3L2,1338,52
CREB3L3,4,2
CREB3L4,290,0
CREB5,132,9
CREBBP,3673,190
CREBL2,2952,0
CREBRF,1000,56
CREBZF,2920,968
CREG1,8249,0
CREG2,73,0
CRELD1,1477,66
CRELD2,2063,0
CREM,1023,48
CRH,4,0
CRHBP,0,0
CRHR1,3,0
CRHR2,3,0
CRIM1,6075,2041
CRIP1,21,2
CRIP2,462,4
CRIP3,40,0
CRIPAK,287,0
CRIPT,1594,0
CRISP1,0,0
CRISP2,0,0
CRISP3,0,0
CRISPLD1,14,10
CRISPLD2,676,0
CRK,2631,2264
CRKL,8418,52
CRLF1,164,12
CRLF2,0,0
CRLF3,1573,6
CRLS1,3498,54
CRMP1,23,16
CRNDE,1026,0
CRNKL1,1249,6
CRNN,0,0
CROCC,431,0
CROCC2,1,0
CROCCP2,214,0
CROCCP3,81,2
CROT,330,0
CRP,0,0
CRSP8P,560,0
CRTAC1,5,0
CRTAM,0,0
CRTAP,3953,446
CRTC1,1149,28
CRTC2,2525,281
CRTC3,1302,26
CRX,0,0
CRY1,1545,14
CRY2,847,78
CRYAA,8,0
CRYAB,426,370
CRYBA1,0,0
CRYBA2,16,0
CRYBA4,0,0
CRYBB1,4,0
CRYBB2,6,0
CRYBB2P1,387,0
CRYBB3,39,0
CRYBG1,2445,0
CRYBG2,877,0
CRYBG3,143,0
CRYGA,0,0
CRYGB,0,0
CRYGC,1,0
CRYGD,0,0
CRYGN,2,0
CRYGS,28,0
CRYL1,353,0
CRYM,8,0
CRYM-AS1,14,0
CRYZ,345,2
CRYZL1,202,3
CRYZL2P,181,2
CS,4847,18
CSAD,220,6
CSAG1,0,0
CSAG3,2,0
CSAG4,0,0
CSDC2,0,0
CSDE1,49786,4976
CSE1L,10271,135
CSF1,2562,20
CSF1R,15,2
CSF2,94,0
CSF2RA,0,0
CSF2RB,0,0
CSF3,34,0
CSF3R,2,0
CSGALNACT1,392,0
CSGALNACT2,1779,142
CSH1,0,0
CSH2,0,0
CSHL1,0,0
CSK,1409,164
CSKMT,70,0
CSMD1,4,2
CSMD2,30,0
CSMD3,0,8
CSN1S1,0,0
CSN1S2AP,0,0
CSN1S2BP,0,0
CSN2,0,0
CSN3,0,0
CSNK1A1,19089,3172
CSNK1A1L,6,404
CSNK1A1P1,4,0
CSNK1D,4369,1542
CSNK1E,6624,76
CSNK1G1,698,174
CSNK1G2,4737,450
CSNK1G2-AS1,1,0
CSNK1G3,790,348
CSNK2A1,6509,345
CSNK2A2,2740,486
CSNK2A3,2862,602
CSNK2B,0,0
CSPG4,262,0
CSPG4P1Y,0,0
CSPG4P2Y,0,0
CSPG5,176,0
CSPP1,487,32
CSRNP1,414,2
CSRNP2,1783,2
CSRNP3,0,0
CSRP1,8603,2
CSRP2,527,14
CSRP3,504,0
CST1,12,0
CST11,2,0
CST13P,0,0
CST2,8,0
CST3,150,16
CST4,8,0
CST5,0,0
CST6,16047,0
CST7,3,0
CST8,6,0
CST9,0,0
CST9L,0,0
CSTA,2180,0
CSTB,18867,0
CSTF1,1813,2
CSTF2,1374,12
CSTF2T,428,0
CSTF3,1505,250
CSTF3-AS1,8,0
CSTL1,0,0
CT45A1,0,0
CT45A2,0,0
CT45A3,0,0
CT45A5,0,0
CT45A6,0,0
CT47A1,0,0
CT47A10,0,0
CT47A11,0,0
CT47A12,0,0
CT47A2,0,0
CT47A3,0,0
CT47A4,0,0
CT47A5,0,0
CT47A6,0,0
CT47A7,0,0
CT47A8,0,0
CT47A9,0,0
CT47B1,0,0
CT55,0,0
CT62,21,0
CT83,727,0
CTAG1A,0,0
CTAG1B,1,0
CTAG2,1,0
CTAGE1,154,0
CTAGE10P,2,14
CTAGE11P,2,0
CTAGE15,2,0
CTAGE4,41,0
CTAGE6,3,0
CTAGE9,0,0
CTBP1,1917,187
CTBP1-AS,1,0
CTBP1-AS2,158,0
CTBP2,8419,262
CTBS,1718,2
CTC1,620,0
CTCF,1570,386
CTCFL,0,0
CTDNEP1,4365,1172
CTDP1,455,0
CTDSP1,877,240
CTDSP2,3633,462
CTDSPL,2579,2
CTDSPL2,2747,272
CTF1,140,0
CTGF,446,2446
CTH,792,0
CTHRC1,21,0
CTIF,204,20
CTLA4,0,0
CTNNA1,23649,1680
CTNNA2,0,0
CTNNA3,0,0
CTNNAL1,3910,2
CTNNB1,8579,3074
CTNNBIP1,2723,4
CTNNBL1,3402,20
CTNND1,11802,614
CTNND2,2,280
CTNS,384,0
CTPS1,1536,176
CTPS2,715,4
CTR9,1545,48
CTRB1,14,0
CTRB2,4,0
CTRC,2,0
CTRL,27,0
CTSA,6327,166
CTSB,16363,46
CTSC,3080,6
CTSD,32446,36
CTSE,6,0
CTSF,1349,0
CTSG,0,0
CTSH,4084,2
CTSK,11,0
CTSL,4169,0
CTSL3P,4,0
CTSLP2,0,0
CTSLP8,0,0
CTSO,64,0
CTSS,219,2
CTSV,1189,0
CTSW,13,2
CTSZ,9081,10
CTTN,11457,36
CTTNBP2,2,0
CTTNBP2NL,1323,48
CTU1,1780,0
CTU2,2033,0
CTXN1,631,280
CTXN2,2,0
CTXN3,0,0
CUBN,2,2
CUEDC1,1843,4
CUEDC2,1300,228
CUL1,2428,322
CUL2,2513,146
CUL3,2150,1762
CUL4A,3689,88
CUL4B,2357,374
CUL5,2031,62
CUL7,1449,6
CUL9,1280,5
CUTA,2,0
CUTALP,498,0
CUTC,558,2
CUX1,2448,65
CUX2,6,0
CUZD1,22,0
CWC15,2670,6
CWC22,1172,0
CWC25,516,0
CWC27,1270,0
CWF19L1,1078,6
CWF19L2,1136,2
CWH43,13,0
CX3CL1,2538,6
CX3CR1,2,0
CXADR,669,0
CXADRP2,0,0
CXADRP3,0,0
CXCL1,893,0
CXCL10,6,2
CXCL11,0,0
CXCL12,6,14
CXCL13,2,0
CXCL14,7,60
CXCL16,9028,6
CXCL17,26,0
CXCL2,65,0
CXCL3,74,0
CXCL5,118,0
CXCL6,414,0
CXCL8,894,2
CXCL9,0,0
CXCR1,0,0
CXCR2,0,0
CXCR2P1,0,0
CXCR3,0,0
CXCR4,48,2
CXCR5,14,0
CXCR6,2,0
CXorf21,0,0
CXorf36,0,0
CXorf38,1716,0
CXorf40A,382,0
CXorf40B,1805,0
CXorf49,1,0
CXorf49B,0,0
CXorf51A,0,0
CXorf51B,0,0
CXorf56,2122,6
CXorf57,52,0
CXorf58,4,0
CXorf65,0,0
CXorf66,0,0
CXorf67,0,0
CXXC1,554,32
CXXC1P1,0,0
CXXC4,2,44
CXXC5,1687,237
CYB561,6894,0
CYB561A3,1869,2
CYB561D1,1268,12
CYB561D2,307,0
CYB5A,913,12
CYB5B,9013,2
CYB5D1,434,0
CYB5D2,185,0
CYB5R1,1654,12
CYB5R2,389,0
CYB5R3,7730,2
CYB5R4,744,0
CYB5RL,245,2
CYBA,28653,28
CYBB,14,0
CYBRD1,1341,0
CYC1,26461,4
CYCS,23571,2
CYCSP52,0,0
CYFIP1,5288,460
CYFIP2,125,20
CYGB,8,6
CYHR1,6073,604
CYLC1,0,0
CYLC2,0,0
CYLD,4125,42
CYMP,0,0
CYP11A1,286,0
CYP11B1,3,0
CYP11B2,2,0
CYP17A1,0,0
CYP19A1,0,0
CYP1A1,252,0
CYP1A2,4,0
CYP1B1,2616,0
CYP1B1-AS1,6,0
CYP20A1,418,2
CYP21A2,0,0
CYP24A1,30,2
CYP26A1,138,0
CYP26B1,247,20
CYP26C1,0,0
CYP27A1,610,4
CYP27B1,106,0
CYP27C1,230,0
CYP2A13,0,0
CYP2A6,0,0
CYP2A7,0,0
CYP2B6,1,0
CYP2B7P,2,0
CYP2C18,0,0
CYP2C19,10,0
CYP2C8,2,0
CYP2C9,2,0
CYP2D6,2,0
CYP2D7,10,0
CYP2E1,37,0
CYP2F1,0,0
CYP2J2,30,2
CYP2R1,141,4
CYP2S1,381,0
CYP2U1,254,0
CYP2W1,53,4
CYP39A1,33,0
CYP3A4,2,0
CYP3A43,0,0
CYP3A5,22,0
CYP3A7,3,2
CYP46A1,22,0
CYP4A11,0,0
CYP4A22,0,0
CYP4B1,19,0
CYP4F10P,0,0
CYP4F11,1629,0
CYP4F12,73,0
CYP4F2,0,0
CYP4F22,4,0
CYP4F24P,2,0
CYP4F3,1051,2
CYP4F30P,0,0
CYP4F35P,0,0
CYP4F62P,0,0
CYP4F8,5,0
CYP4V2,192,0
CYP4X1,6,0
CYP4Z1,2,0
CYP4Z2P,0,0
CYP51A1,1447,174
CYP51A1-AS1,7,0
CYP7A1,0,0
CYP7B1,64,0
CYP8B1,56,0
CYR61,11854,5141
CYS1,84,0
CYSLTR1,0,2
CYSLTR2,0,0
CYSRT1,0,0
CYSTM1,5788,4
CYTB,25177,66
CYTH1,1578,2
CYTH2,4307,23
CYTH3,8090,4
CYTH4,32,0
CYTIP,0,0
CYTL1,0,0
CYTOR,2418,0
CYYR1,0,0
D2HGDH,429,0
DAAM1,968,114
DAAM2,16,2
DAB1,0,2
DAB2,69,256
DAB2IP,1914,337
DACH1,20,48
DACH2,0,0
DACT1,8,4
DACT2,6,0
DACT3,40,172
DACT3-AS1,2,0
DAD1,11798,122
DAD1P1,0,0
DAG1,13104,454
DAGLA,172,21
DAGLB,864,0
DALRD3,743,0
DANCR,1711,0
DAND5,26,0
DAO,0,0
DAOA,0,0
DAP,15924,0
DAP3,4081,32
DAPK1,2675,16
DAPK1-IT1,0,0
DAPK2,284,0
DAPK3,3041,0
DAPL1,2,0
DAPP1,1805,2
DARS,4373,240
DARS2,2022,2
DAW1,3,0
DAXX,4,0
DAZ1,0,0
DAZ2,0,0
DAZ3,0,0
DAZ4,0,0
DAZAP1,12539,34
DAZAP2,4845,560
DAZL,12,0
DBF4,667,0
DBF4B,614,0
DBH,0,0
DBI,4877,6
DBIL5P,2,0
DBN1,3835,322
DBNDD1,2112,0
DBNDD2,7,0
DBNL,2053,23
DBP,920,0
DBR1,940,0
DBT,2743,4
DBX1,2,0
DBX2,0,0
DCAF1,1325,350
DCAF10,3433,126
DCAF11,7142,42
DCAF12,5231,194
DCAF12L1,0,0
DCAF12L2,0,0
DCAF13,5564,1
DCAF13P3,6,0
DCAF15,3518,38
DCAF16,1947,0
DCAF17,591,5
DCAF4,408,0
DCAF4L1,20,0
DCAF4L2,0,0
DCAF5,1948,232
DCAF6,1780,58
DCAF7,6827,146
DCAF8,4256,848
DCAF8L1,0,0
DCAF8L2,0,0
DCAKD,1234,2
DCANP1,0,0
DCBLD1,188,0
DCBLD2,2162,0
DCC,0,0
DCD,0,0
DCDC1,2,0
DCDC2,22,0
DCDC2B,6,0
DCDC2C,0,0
DCHS1,16,20
DCHS2,4,0
DCK,1585,0
DCLK1,10,67
DCLK2,6,22
DCLK3,0,0
DCLRE1A,501,0
DCLRE1B,838,0
DCLRE1C,201,0
DCN,0,0
DCP1A,1508,32
DCP1B,263,0
DCP2,1359,2
DCPS,2640,0
DCST1,7,0
DCST1-AS1,76,0
DCST2,21,0
DCSTAMP,0,0
DCT,4,0
DCTD,5408,2
DCTN1,5820,37
DCTN1-AS1,3,0
DCTN2,3729,16
DCTN3,3783,0
DCTN4,2702,28
DCTN5,4050,0
DCTN6,1322,0
DCTPP1,6075,2
DCUN1D1,2959,396
DCUN1D2,883,0
DCUN1D3,367,158
DCUN1D4,947,34
DCUN1D5,3235,702
DCX,8,0
DCXR,4735,2
DDA1,6012,0
DDAH1,2768,74
DDAH2,38,0
DDB1,16883,2398
DDB2,915,2
DDC,24,4
DDC-AS1,2,0
DDHD1,736,2
DDHD2,2125,44
DDI1,0,0
DDI2,265,88
DDIAS,934,0
DDIT3,6233,0
DDIT4,18964,16
DDIT4L,160,0
DDN,70,0
DDO,53,0
DDOST,18828,426
DDR1,0,0
DDR2,5,426
DDRGK1,4773,20
DDT,1327,1
DDTL,80,0
DDX1,3188,490
DDX10,878,4
DDX11,1427,2
DDX11-AS1,175,0
DDX11L10,2,0
DDX11L2,231,0
DDX11L8,0,0
DDX11L9,0,0
DDX12P,300,0
DDX17,6643,1116
DDX18,4614,0
DDX19A,2440,21
DDX19B,1557,1
DDX20,977,2
DDX21,6280,82
DDX23,3386,356
DDX24,7459,10
DDX25,0,0
DDX27,5185,68
DDX28,299,0
DDX31,595,4
DDX39A,6099,6
DDX39B,0,0
DDX3X,10999,7183
DDX3Y,0,121
DDX4,0,0
DDX41,6414,76
DDX42,4681,350
DDX43,4,0
DDX46,2724,218
DDX47,3652,2
DDX49,2883,2
DDX5,12242,8225
DDX50,1754,633
DDX51,404,2
DDX52,1331,38
DDX53,0,0
DDX54,3025,6
DDX55,1240,2
DDX56,1904,4
DDX58,505,0
DDX59,1043,2
DDX6,6843,802
DDX60,3871,0
DDX60L,1930,0
DEAF1,1311,4
DECR1,2153,0
DECR2,511,4
DEDD,1334,312
DEDD2,3672,14
DEF6,1204,0
DEF8,4352,4
DEFA1,0,0
DEFA10P,1,0
DEFA1B,0,0
DEFA3,0,0
DEFA4,0,0
DEFA5,0,0
DEFA6,0,0
DEFB1,943,0
DEFB103A,0,0
DEFB103B,0,0
DEFB104A,0,0
DEFB104B,0,0
DEFB105A,0,0
DEFB105B,0,0
DEFB106A,0,0
DEFB106B,0,0
DEFB107A,0,0
DEFB107B,0,0
DEFB108B,0,0
DEFB109A,0,0
DEFB109B,0,0
DEFB110,0,0
DEFB112,0,0
DEFB113,0,0
DEFB114,0,0
DEFB115,0,0
DEFB116,0,0
DEFB118,0,0
DEFB119,0,0
DEFB121,0,0
DEFB122,0,0
DEFB123,0,0
DEFB124,0,0
DEFB125,0,0
DEFB126,0,0
DEFB127,0,0
DEFB128,0,0
DEFB129,0,0
DEFB130A,0,0
DEFB131A,0,0
DEFB131B,2,0
DEFB131C,0,0
DEFB131D,0,0
DEFB132,0,0
DEFB133,0,0
DEFB134,0,0
DEFB135,0,0
DEFB136,0,0
DEFB4A,742,0
DEFB4B,8,0
DEGS1,2714,2
DEGS2,86,0
DEK,17186,0
DENND1A,2018,20
DENND1B,168,0
DENND1C,1600,0
DENND2A,121,22
DENND2C,133,0
DENND2D,617,2
DENND3,3072,4
DENND4A,275,30
DENND4B,1943,20
DENND4C,2278,10
DENND5A,1264,655
DENND5B,208,10
DENND6A,1318,10
DENND6B,217,0
DENR,3498,34
DEPDC1,2527,4
DEPDC1B,2221,0
DEPDC4,77,0
DEPDC5,368,26
DEPDC7,215,0
DEPP1,0,0
DEPTOR,32,0
DERA,2337,0
DERL1,7482,306
DERL2,1823,136
DERL3,260,0
DES,10,84
DESI1,1072,135
DESI2,2900,6
DET1,18,0
DEUP1,0,0
DEXI,325,0
DFFA,2314,2
DFFB,120,2
DGAT1,5337,6
